id,word_id,word,language,definition,read_aloud
0199d456-dc6b-70ec-50cc-0ddc262b667c,0199279d-5b24-7073-76f3-5f03f1af97e9,hamburger,ko,햄버거,햄버거.
0199d456-dd6f-70e9-ece2-a79f25dde3d7,0199279b-0beb-708e-0984-7ad8c75d7b53,favorite,ko,가장 좋아하는 / 마음에 드는,가장 좋아하는. 마음에 드는.
0199d456-de56-7016-08e5-65483a4bca13,01992797-2f11-7071-39c9-41ecd97ad7c5,banana,ko,바나나,바나나.
0199d456-df83-70eb-9012-ac23acf3bdd8,01992796-f352-7089-581f-927fc35664f2,sport,ko,스포츠 / 운동,스포츠. 운동.
0199d456-e05c-707a-c87a-0ac6bf69d1dc,01992796-0d2f-7087-3ea3-745c72245f71,kind,ko,종류 / 친절한 (문맥에 따라 다르게 쓰임),종류. 친절한.
0199d456-e175-70c6-b228-b1ffe788f120,0199279e-bc79-70bf-4b3d-4dcc170f04e9,basketball,ko,농구,농구.
0199d456-e240-700a-7736-a9ad65f189d8,0199277f-9001-7077-203d-d2616f0be96c,the,ko,그 / 저(특정한 것을 가리킬 때 사용),그. 저.
0199d456-e397-7036-7ed6-b1f6bbc6ae12,0199277f-0a89-703f-8e07-7b532dea0b7a,to,ko,~으로 / ~에게 / ~하기 위해 (전치사/부정사),무엇무엇으로. 누구누구에게. 뭐뭐 하기 위해.
0199d456-e47e-7023-d6c6-5d7e6065db19,0199277f-069d-706e-1a3a-d16896b5c9cf,of,ko,~의 / ~에 관한 (소유 / 부분 / 출처 표현),누구의. 무엇에 관한.
0199d456-e56b-70ad-d31b-0ced7daadd51,0199277f-131c-7073-c582-39974aad8387,and,ko,그리고,그리고.
0199d456-e660-7002-55a2-2dfd68122274,0199277f-022a-700d-a1fd-0e4f61fbc2db,in,ko,~안에 / ~에서,무엇무엇 안에. 어디어디에서.
0199d456-e754-709b-8ef4-19a1dc687513,0199277f-02a8-705a-8380-f859d7273dbc,it,ko,그것,그것.
0199d456-e81f-70e6-e5c6-309d85c137d1,0199277f-3bb6-70cd-6593-b0b7836a8b79,for,ko,~을 위하여 / ~동안,누구누구를 위하여. 뭐뭐하는 동안.
0199d456-e924-70b5-62c9-c78b61463a51,0199277f-0724-701c-5e80-698c82e80251,on,ko,~위에 / ~에,무엇무엇 위에. 어디어디에.
0199d456-e9fa-70f4-8bda-a19a20d0b106,01992796-2d86-703a-d26c-a5f6df79c363,said,ko,말했다 (say의 과거형/과거분사),말했다.
0199d456-eb83-702d-2b50-1061b568e957,01992796-41b4-7073-af14-56723ace5541,with,ko,~와 함께,누구누구와 함께.
0199d456-ec67-70f0-6116-4c393b7dbf43,0199277f-67b6-704d-c2e5-3147d140cc3e,not,ko,아니다 / ~하지 않다 (부정),아니다. 뭐뭐하지 않다.
0199d456-ee01-709a-e6ae-b581667d40c9,0199277e-fd10-70a7-cd0f-e447bacbcc9c,be,ko,be 동사의 원형 (am/are/is 등으로 활용),be 동사의 원형.
0199d456-eee7-70a7-0a3d-14ab1e9389f1,019936a0-309f-70ca-09cf-f24ca86603e0,t,ko,알파벳 T,알파벳 T.
0199d456-efb7-7047-4eb1-8aa186be2273,0199277f-010c-70de-fe5b-d0fd83976a4f,he,ko,그(남자),그.
0199d456-f0ad-70ec-7585-3a94344bda60,01992780-e283-7022-8741-ada220bc4b44,from,ko,~로부터 / ~에서,무엇무엇로부터. 어디어디에서.
0199d456-f29a-704e-bec9-b52dc34a27e9,0199277e-fc2c-70cb-d7d5-a3af83840cae,at,ko,~에 / ~에서,어디어디에. 어디어디에서.
0199d456-f3ac-706f-f889-c84b1fbb4d4f,0199277e-fbf5-705b-1b74-f775669feab5,as,ko,~처럼 / ~로서,무엇무엇처럼. 뭐뭐로서.
0199d456-f499-7091-4ac0-e22d38933965,01992785-b8ce-7012-38e3-c944f80c5483,have,ko,가지다,가지다.
0199d456-f569-7062-30ca-6599d044e3a6,0199277e-fd71-7060-f08f-fe49715d7f62,by,ko,~옆에 / ~에 의해,뭐뭐 옆에. 무엇무엇에 의해.
0199d456-f68a-700f-a304-2ac765a7146d,0199277f-14bc-7080-5a41-3751f1c3fa9a,are,ko,be 동사의 현재형 (2인칭 단수 / 복수 / 3인칭 복수),be 동사의 현재형.
0199d456-f7af-7027-40cc-3ed15c5bb166,0199277f-1ff6-7055-f5cc-1b24658d9339,but,ko,그러나 / 하지만,그러나. 하지만.
0199d456-f899-7048-7678-f76b32bb1020,0199277f-0783-70cc-d5c5-5c7c5a4e7972,or,ko,또는 / ~이나,또는. 무엇무엇 이나.
0199d456-f9ce-70a8-2ce6-fc392b2d5f56,0199277e-fb8c-70cc-a8e4-7dc76cc9a7eb,an,ko,하나의 (모음 앞에서 쓰이는 부정관사),하나의.
0199d456-fac9-708a-79bf-525acffb7c7b,0199277f-1114-70dc-48d3-47ebc104d20e,all,ko,모든 / 전부,모든. 전부.
0199d456-fbac-70c9-e51f-ea3653fcf5d7,01992796-413b-7054-8ab3-e45914598381,will,ko,~할 것이다 (미래 표현),뭐뭐할 것이다.
0199d456-fc8c-70ac-db41-b6cbd7d2977a,01992796-1181-7066-d909-a41a97a36e3a,like,ko,좋아하다 / ~처럼,좋아하다. 뭐뭐처럼.
0199d456-fd63-70de-3984-e7fa2bed1dcc,0199277f-6b9f-705a-0f3d-0460d406a116,one,ko,하나 / 1,하나. 일.
0199d456-fedd-70c3-f57f-9d971bc37d2a,0199277f-0447-702f-79d1-abe578a9e682,me,ko,나를 / 나에게,나를. 나에게.
0199d457-0037-70f6-9f3a-45ab8bb7f294,0199277f-0b6b-70d4-6066-e02f4ae59b5a,up,ko,위로 / 위쪽에,위로. 위쪽에.
0199d457-0134-7043-417d-aff2af95dd91,019936d6-c8de-70ee-a572-4c24d2adec95,pct,ko,percent(퍼센트)의 줄임말,percent의 줄임말.
0199d457-0206-7019-172a-8d41a2661741,01992796-44d5-70e6-3350-f6df7bc877ff,about,ko,~에 대하여 / 대략,뭐뭐에 대하여. 대략.
0199d457-02e1-708c-ebf4-012ddcc64b25,0199277f-0a5c-7079-cc90-707f2d6369e5,so,ko,그래서 / 매우,그래서. 매우.
0199d457-03a6-7033-5205-2198941bceb3,0199277f-01e8-70ba-4010-92aa9d148e8b,if,ko,만약 ~라면,만약 뭐뭐라면.
0199d457-04ad-70c2-f893-f6158868740a,0199277f-217c-7034-d89f-94086d07df44,can,ko,~할 수 있다,무엇무엇을 할 수 있다.
0199d457-059a-70ca-5e78-3fd56a929f67,0199277f-05d0-7086-f94d-980f86709fcc,no,ko,아니오 / ~이 없는,아니오. 무엇무엇이 없는.
0199d457-068e-7036-16ca-b4249a951ccc,0199277f-6d00-70cd-2861-6e03c4cdb524,out,ko,밖에 / 밖으로,밖에. 밖으로.
0199d457-07ca-70e5-7393-86e6edf1ecc9,01992796-42e6-70e3-afc2-be6ff26d4c36,year,ko,해 / 1년,해. 일년.
0199d457-08b8-70f1-f701-21a2c7fea231,0199277e-fe24-703b-2d32-73a8f2c2f585,do,ko,하다,하다.
0199d457-098e-709e-d75a-3f2b19ffb179,01992796-fe50-703d-81cf-8a47c2f78fe6,there,ko,거기에 / 거기,거기에. 거기.
0199d457-0a69-7082-d398-83c75865f28b,01992796-0dc7-7073-4f34-19df0fb0433e,know,ko,알다,알다.
0199d457-0b42-70b6-c1a6-fbf5da6363c5,01992781-9c2b-70d3-e606-6a02cbf4610b,girl,ko,소녀 / 여자아이,소녀. 여자아이.
0199d457-0c13-702d-13da-089befdc7de1,01992796-0bf2-70d4-925c-196ac6a2d74d,just,ko,단지 / 방금,단지. 방금.
0199d457-0d04-70ec-c92b-79dff0118874,01992796-1937-709f-53bf-c59ab5ba8362,more,ko,더 많은,더 많은.
0199d457-0de7-7063-db1f-0ad50bb77627,0199277f-2d49-70fe-fae9-a0641744128d,don,ko,입다 / 걸치다 (또는 스페인어 이름에서 쓰임),입다. 걸치다.
0199d457-0f0c-7056-0721-91738e6b6de2,01992796-46bc-70b2-507b-75d9e0d5892d,after,ko,~후에,무엇무엇 후에.
0199d457-1034-7032-f01d-be63b45eb77b,0199277f-41e8-70f5-6e49-26e0ef0b6cfc,guy,ko,남자 / 사람,남자. 사람.
0199d457-1165-7096-e2a8-a43c41900e98,01992796-33c5-7052-f8e4-8e17ccb938ee,some,ko,몇몇의 / 어떤,몇몇의. 어떤.
0199d457-1233-7025-dad6-a1a34c93fd37,0199277f-6577-7045-7164-a1fc0a3f1cd2,new,ko,새로운,새로운.
0199d457-1323-7090-19cc-b21658764702,0199277f-9d43-708c-53ff-01092cc13ffa,who,ko,누구,누구.
0199d457-13e8-7005-dc3d-9d58e571874f,0199277f-3f99-7088-2d4b-f2d966730ff1,get,ko,얻다 / 가지다,얻다. 가지다.
0199d457-14ce-7046-8ffa-3312c1908c0f,01992796-092e-7087-ca5e-7942e2a388c0,into,ko,~안으로,뭐뭐 안으로.
0199d457-15d5-7070-c589-61494ca14164,0199277f-9508-704f-5ce2-54ff020b34e4,two,ko,숫자 2,숫자 이.
0199d457-16e3-70ee-6f63-a30634f220ca,01992798-998a-70ca-a0c5-f88acb5756a6,billion,ko,십억,십억.
0199d457-17c2-7043-0240-396036ef0655,0199277f-5db7-70a3-58d0-0ac1a9082fd2,man,ko,남자,남자.
0199d457-188a-7020-f87a-79ee3b602dc1,01992796-38ed-70b4-d50d-c3a9051c802c,time,ko,시간,시간.
0199d457-194b-7099-d24f-14792038b6e7,01992796-c662-705b-8791-408f0b8a9137,other,ko,다른,다른.
0199d457-1a86-704c-0b56-8cbc06ea81c8,0199277f-09bc-70b4-5bab-465e05ffeca0,re,ko,regarding (~에 관하여) / again(~다시) 의미,regarding. again 의미.
0199d457-1b9e-7023-d0a7-d32c6060bf9e,01992796-1e93-70c4-2983-15e1271e214d,only,ko,오직 / 단지,오직. 단지.
0199d457-1c85-705e-474a-9c301bf98acb,01992796-1fba-7027-2a5b-4c6c38d47beb,over,ko,~위에 / ~이상,무엇무엇 위에. 무엇무엇 이상.
0199d457-1d6e-70b8-bb81-5423b41b6ac3,01992796-0f73-703a-6c6e-e52c2f697e3e,last,ko,마지막 / 지난,마지막. 지난.
0199d457-1e81-7008-cbdf-fc519e25dfeb,01992782-5179-7006-5dc1-ae22a1bed5f0,good,ko,좋은,좋은.
0199d457-1f43-7044-ca28-6ca1e2890789,0199277f-6815-70f7-9813-96b8d4fd7658,now,ko,지금,지금.
0199d457-201b-705a-bb99-cd39b4da252b,01992798-c98a-7043-f1eb-c5192e9d87cd,company,ko,회사,회사.
0199d457-20eb-70af-7023-607836aaad64,01992796-137b-7027-d5b3-01eea4692067,loss,ko,잃음 / 손실,잃음. 손실.
0199d457-21b8-70de-c84d-29e80e8fa178,0199277f-13cb-704d-0120-9db19e043c1f,any,ko,어떤 / 아무,어떤. 아무.
0199d457-2291-70d9-fd66-07f3a9765440,01992780-5b3c-7073-1a28-7bf24891fe44,down,ko,아래로,아래로.
0199d457-2353-7039-4bcc-1c2a7cee3438,0199277f-0063-70e8-b0ba-91a99b0c6dfe,go,ko,가다,가다.
0199d457-2424-705a-423d-6d69c8ab0103,01992796-8109-7095-17b6-4b54c2cfc671,first,ko,첫 번째,첫 번째.
0199d457-2514-70ea-4ec8-ffa22f058fba,01992796-424b-707c-71c0-6cdf15cdc570,work,ko,일하다,일하다.
0199d457-25ee-70d2-b40e-2aa8cbff9903,0199277f-b175-7002-4967-28946e69c396,also,ko,또한,또한.
0199d457-270f-7037-e5d8-8617e2261a0e,01992796-202f-7067-c8b0-1c7a10e2397a,page,ko,페이지,페이지.
0199d457-283f-7025-12eb-60228a4cdf75,01992796-3855-7057-a73f-48ac8288210f,then,ko,그때 / 그러면,그때. 그러면.
0199d457-2934-7065-fcbc-b969e3355e39,01992796-1ed1-7033-2c45-d24f14781a1d,open,ko,열다 / 열린,열다. 열린.
0199d457-2a16-702a-a8ca-fc8fd8892622,01992796-3d5c-70d3-f03a-51ea9d53cbfd,very,ko,매우,매우.
0199d457-2ad6-7056-b06f-1d44fb1fa7e9,01992796-fea5-7091-2d30-6a83500a4025,think,ko,생각하다,생각하다.
0199d457-2bbe-707a-6aa5-f9eebbde2727,01992798-669b-70bd-5d9b-f2e8b1bfa80c,window,ko,창문,창문.
0199d457-2c7e-7090-707e-274c0535fc4f,01992796-daaa-702c-e3ee-fb1d9fc705c4,right,ko,오른쪽 / 옳은,오른쪽. 옳은.
0199d457-2da7-707b-c66d-d0c97b10df2a,0199277f-c546-70f3-c4f9-95fd31006f2a,back,ko,뒤 / 돌아가다,뒤. 돌아가다.
0199d457-2e83-700e-c2a0-d85b40303060,01992797-f1ca-709a-1cbf-68cbbf5d92c2,people,ko,사람들,사람들.
0199d457-2f5e-7065-e95d-1963a719875a,0199277f-92ca-70b6-3f18-be6eeb4cbfd5,too,ko,또한 / 너무,또한. 너무.
0199d457-3030-7015-fba9-5bcdf356d52a,0199277f-84c4-7056-9c0b-63cedff118a5,see,ko,보다,보다.
0199d457-314c-708a-a599-118875b32292,01992798-9224-7052-97fd-2eee1cc47f30,because,ko,왜냐하면 / ~때문에,왜냐하면. 뭐뭐때문에.
0199d457-3231-70f8-90e7-d472bd5b8fbc,0199277f-6a67-70aa-d83a-9a56e05e36f4,off,ko,없어져 / 떨어져,없어져. 떨어져.
0199d457-3312-704c-7462-90a99d189fd5,01992780-7ec1-70fa-1061-b7700ceb768e,even,ko,심지어 / ~조차,심지어. 뭐뭐조차.
0199d457-33e3-70c1-9dcd-2d77d0abe57a,01992796-14ca-70a1-ebb5-c7c78e708753,make,ko,만들다,만들다.
0199d457-349d-709b-e4a4-89bf2476e30b,01992796-8f79-70b8-36e8-e3b8f089dcb2,going,ko,가고 있는 (진행형),가고 있는.
0199d457-3598-70f0-80b3-fedd5925aef8,01992796-3fa5-705e-0d28-a0aa7341eee4,want,ko,원하다,원하다.
0199d457-3676-7095-bffd-b48eacaf6b09,01992780-0863-70a3-745b-6d0dfdcb01a3,cell,ko,세포 / 휴대전화(cell phone 의미로도 쓰임),세포. 휴대전화.
0199d457-3738-70fd-4979-82201b2670bd,01992796-1486-7097-d76f-a9fefcf1c400,made,ko,만들었다 (make의 과거/과거분사),만들었다.
0199d457-3801-707e-6a96-b2b67b46ebc8,01992796-19ea-706b-c38d-78b317597952,much,ko,많은 (셀 수 없는 명사와 함께),많은.
0199d457-38da-70fb-3e45-a25ce5665164,01992786-886d-7038-afc1-ba5fac42479e,here,ko,여기,여기.
0199d457-39a0-70ec-0658-a73a3145c611,01992797-32eb-706b-f173-6dc9a5dd6666,before,ko,~전에,뭐뭐전에.
0199d457-3a59-70f5-bfdb-0ba61ea4da55,0199277f-9c60-707a-43e2-a283abcd019d,way,ko,길 / 방법,길. 방법.
0199d457-3b13-708d-0366-f8a450a13836,01992796-e5bd-70ae-a21f-b838f31696ae,share,ko,공유하다 / 나누다,공유하다. 나누다.
0199d457-3bdc-7049-2bff-7c6cac1568cb,01992797-1239-70e5-c118-36c741f0eed6,while,ko,~하는 동안,뭐뭐하는 동안.
0199d457-3cd8-703d-bf04-d931697b2b66,01992796-36db-7078-10e7-55f4c5ffad62,take,ko,잡다 / 가지다,잡다. 가지다.
0199d457-3e84-701a-555b-c8d6d6aee671,01992798-06e6-708c-acb6-898e2c3278c1,really,ko,정말로 / 실제로,정말로. 실제로.
0199d457-3f74-7085-afdc-40aea73720fc,0199277f-1971-706d-8655-197d274b0431,bar,ko,막대 / 술집 / 장애물,막대. 술집. 장애물.
0199d457-4034-7020-4f29-e2ef085aa93f,0199277f-83e9-706e-c384-4ffc021566be,say,ko,말하다,말하다.
0199d457-40eb-708a-5d35-f118a5f2cc27,0199277f-5f2d-706c-e73d-7fc55a753ccd,may,ko,~일지도 모른다 / ~해도 된다,뭐뭐 일지도 모른다. 뭐뭐 해도 된다.
0199d457-41ae-7029-3fc0-05d82b500f5d,0199277f-28fe-70d6-acdd-4eedb9d5ff7c,day,ko,하루 / 날,하루. 날.
0199d457-4277-708e-314a-e186fe61ee81,01992796-f580-701e-2e8c-345f3e19c795,still,ko,여전히 / 아직도,여전히. 아직도.
0199d457-438f-7074-140a-f7b6a724c055,01992796-4073-70e7-7dbb-34d486221711,well,ko,잘 / 건강한,잘. 건강한.
0199d457-4486-709a-c50a-e352f4cc203d,0199277f-1e33-705e-62cf-e4097f637213,boy,ko,소년 / 남자아이,소년. 남자아이.
0199d457-4553-707c-f247-8ff4179abbd9,01992797-fdb5-70cf-9da1-51b18482ff74,profit,ko,이익 / 수익,이익. 수익.
0199d457-460e-7093-fb2e-f644716bc69a,0199279a-1b00-7036-e4d3-74cca2c4f166,through,ko,~을 통하여 / ~을 지나서,무엇무엇을 통하여. 무엇무엇을 지나서.
0199d457-46e9-7056-4b75-68a916760ad2,01992796-1317-70bc-7e42-d2542de6f828,long,ko,긴 / 오랫동안,긴. 오랫동안.
0199d457-489e-707b-05a9-4147a150ae75,0199277f-30c2-70b9-4e5d-e76d6edd068b,eat,ko,먹다,먹다.
0199d457-494b-7062-d0ea-21ea30326c84,01992796-7343-7056-1c8b-64516a1e5c71,drink,ko,마시다,마시다.
0199d457-4bed-7034-387d-c975f04fbdc4,01992796-fed3-7042-bded-6b5051a64b86,three,ko,숫자 3,숫자 삼.
0199d457-4cf1-7008-3a0c-8ea385b0e156,01992797-143f-70de-aab9-a1fb021b8030,woman,ko,여자,여자.
0199d457-4da7-70e6-5d1f-853faa98f917,01992797-8814-70fd-670d-0d1959722d8f,friend,ko,친구,친구.
0199d457-4e68-70f6-57d3-17fdaa5dd101,01992796-9d11-7054-ea98-3c6133debb10,house,ko,집,집.
0199d457-4f38-706d-9bc0-ef6b492d09a6,01992798-1967-70ef-d351-1d9fc601b277,school,ko,학교,학교.
0199d457-501f-7081-19f9-94f7199ab4ba,01992780-c1d4-7080-ba25-8d50e99f6004,food,ko,음식,음식.
0199d457-50d7-7000-ec9f-54c9f466237d,01992797-106b-706e-cdb4-1f81263dc10d,water,ko,물,물.
0199d457-51d4-70a6-e172-979e53c3d8ee,0199277f-e76b-70d7-6c97-b0aa4457e679,book,ko,책,책.
0199d457-53a0-70ce-4f21-b732d6997da4,01992796-c163-70e2-f421-c98a591d8954,night,ko,밤,밤.
0199d457-5486-7058-5dca-dbea0148641e,01992799-77d7-70d8-8e3d-89f83b409113,morning,ko,아침,아침.
0199d457-5543-709c-7d9d-9d3b51e584e7,01992797-00f7-70dd-8e31-49dc71a0ce27,today,ko,오늘,오늘.
0199d457-574e-7014-71fb-95f91ca3da5b,0199279c-47d5-70e1-3875-a3d028573b22,tomorrow,ko,내일,내일.
0199d457-5837-7030-b1e7-6f780cd2f861,0199277f-8c48-70ff-eb99-3f6e69c6a4e0,sun,ko,태양,태양.
0199d457-58fd-700a-f3a0-457da3b7ac37,01992796-27d0-70ec-6b52-5cd410d5f95d,rain,ko,비,비.
0199d457-59f6-7090-097d-583f3652f7dc,0199277f-18a7-7093-4dc7-fc99075cb473,bad,ko,나쁜,나쁜.
0199d457-5ab6-7020-def5-3013cdc78029,0199277f-1bb6-7059-4347-9a2e18ee6119,big,ko,큰,큰.
0199d457-77e1-70e7-b6dd-2e4dfb011258,01992796-eb96-70a3-3004-8798611f78fa,sleep,ko,자다,자다.
0199d457-78f7-70a7-25c4-65ad33f8415c,01992796-67af-7036-2f49-de7eddd6966f,couch,ko,소파 / 긴 의자,소파. 긴 의자.
0199d457-79ce-70b9-452e-1af682a7c0c9,01992796-386c-70e7-55f7-d542ce3ece4b,they,ko,그들 / 그 사람들,그들. 그 사람들.
0199d457-7add-7037-6244-3128348d271d,01992780-1d18-70fa-d025-48f9073a0a85,come,ko,오다,오다.
0199d457-7bd5-701d-2e8e-3e8bfd53a74b,0199277f-a1ef-700d-0c17-504d8fe4c941,you,ko,너 / 당신 / 여러분,너. 당신. 여러분.
0199d457-7d9c-70b4-7632-9a6b4b352829,0199277f-8621-70dd-1f02-af63e652eba0,she,ko,그녀,그녀.
0199d457-7e97-7076-9896-24f66105f4b7,0199277f-0c9f-70fa-91e8-d77be4025dcd,we,ko,우리,우리.
0199d457-85b8-70fa-d94f-011770eb49ab,01992797-c5a1-70ba-95bd-f283ba1b5764,little,ko,작은 / 조금,작은. 조금.
0199d457-86ba-70e8-12a1-f0ce35a081a7,01992797-cd77-70df-aecb-ee4385d28c45,market,ko,시장,시장.
0199d457-87ea-7089-a082-acd83379c56d,0199277f-6b42-7081-500b-48478decf609,old,ko,늙은 / 오래된,늙은. 오래된.
0199d457-88c2-701f-e728-11df293073b3,01992797-07de-70f6-0228-c55f90b0c0b3,under,ko,~아래에,무엇무엇 아래에.
0199d46b-1060-7032-48cf-359a662fbc1e,01992796-2ee8-70be-b551-775e752c7ef1,seek,ko,찾다 / 추구하다 / 구하다,찾다. 추구하다. 구하다.
0199d46b-111c-707f-42d0-48fb1060af4d,0199279c-f426-7074-37b7-f08cedfe2eee,currently,ko,현재 / 지금,현재. 지금.
0199d46b-11bb-70ac-e882-d49f9d36397b,01992796-9332-702c-337d-d6b71236d794,green,ko,초록색 / 친환경의,초록색. 친환경의.
0199d46b-1256-70bc-cbc5-7706b88881ec,01992798-e6bf-7000-197c-21339b6d545c,despite,ko,~에도 불구하고,무엇무엇에도 불구하고.
0199d46b-1334-7078-abf2-bacbcc9a9f4b,01992780-5c69-701d-2666-8d91303b9743,drag,ko,끌다 / 질질 끌리다,끌다. 질질 끌리다.
0199d46b-13ed-7096-c516-1f5a64e654f4,01992797-1ab5-7040-d04e-1a98a988aabe,access,ko,접근 / 이용권 / 접근하다,접근. 이용권. 접근하다.
0199d46b-1555-703b-f102-3b20f04eb9b2,01992798-1c26-70cb-5a60-d2fb724919a1,select,ko,선택하다 / 고르다,선택하다. 고르다.
0199d46b-1643-706b-8f8b-0d9ef1dd7ddc,0199279a-6cdd-70de-d17b-f453c5df0ea8,approved,ko,승인된 / 허가된 (approve의 과거·과거분사형),승인된. 허가된.
0199d46b-16e4-7089-f327-e814ab1d8e72,01992780-294b-7023-e1fb-466c492c0181,crew,ko,승무원 / 팀 / 조,승무원. 팀. 조.
0199d46b-178d-7086-9e84-bb1a50456a43,01992796-8d7f-7017-918f-1ad7e6fa2df7,glass,ko,유리 / 컵 / 안경,유리. 컵. 안경.
0199d46b-1840-7021-d8d3-9b8def07569b,01992796-97a0-706a-dc0e-b35697eee3a6,haven,ko,피난처 / 안식처,피난처. 안식처.
0199d46b-18ed-70fc-4873-67ac27c14d42,01992799-c541-701c-e41f-f25bf3ac869c,related,ko,관련된 / 연관된 (relate의 과거분사형),관련된. 연관된.
0199d46b-1992-70d1-1c17-226696bff796,019927a2-fe03-70e2-409b-48981fd2bf44,particularly,ko,특히 / 유난히,특히. 유난히.
0199d46b-1a6a-70c2-36c9-4b1cab061b76,0199279b-5e5d-70f3-311c-f988bd194921,keyboard,ko,키보드 / 건반,키보드. 건반.
0199d46b-1b19-70eb-88e8-f1fc1a8d7297,019936a0-f5a9-7048-1078-2862700be96c,html,ko,웹 문서 작성 언어(하이퍼텍스트 마크업 언어),웹 문서 작성 언어.
0199d46b-1c87-700e-5685-996d58712c8b,01992796-3893-7078-e40c-8fa9a230099f,thus,ko,따라서 / 그러므로,따라서. 그러므로.
0199d46b-1d34-702c-9258-00f9dd666adf,01992799-e564-7000-64f4-9717ae229fb8,setting,ko,환경 / 설정 / 배경,환경. 설정. 배경.
0199d46b-1e62-70f8-e17e-d2a2b4a0022d,01992797-43bc-70f2-0339-17c699ab8dc0,buying,ko,구매 / 매수 (buy의 현재분사형),구매. 매수.
0199d46b-1f62-709c-ac87-a08ee3c635b7,01992796-801b-70c4-caa4-d94f01197c1e,fight,ko,싸우다 / 싸움,싸우다. 싸움.
0199d46b-2060-709c-672e-b0ea7fbe39e3,01992798-367a-70e8-449e-4993045bbc9c,stupid,ko,어리석은 / 바보 같은,어리석은. 바보 같은.
0199d46b-212d-7005-f2ab-839048b8bf93,01992799-cac7-704d-bdcb-be577b627b3e,respect,ko,존경 / 존중하다,존경. 존중하다.
0199d46b-21cc-7036-3e92-23fa776596bf,01992796-bd9d-7023-a2c1-df19df10b65d,moved,ko,움직였다 / 감동했다 (move의 과거·과거분사형),움직였다. 감동했다.
0199d46b-22b6-7077-e1fe-56b37d5a4962,0199279a-5822-705b-f4b3-a623bd493632,addition,ko,추가 / 덧셈,추가. 덧셈.
